***************  Scan008  ***************

Total no of clusters(textlines) = 21
Cluster code 23 has 9 labels
Cluster code 28 has 15 labels
Cluster code 6 has 13 labels
Cluster code 8 has 9 labels
Cluster code 29 has 12 labels
Cluster code 10 has 9 labels
Cluster code 24 has 14 labels
Cluster code 25 has 8 labels
Cluster code 11 has 13 labels
Cluster code 26 has 9 labels
Cluster code 13 has 13 labels
Cluster code 17 has 8 labels
Cluster code 30 has 6 labels
Cluster code 18 has 12 labels
Cluster code 20 has 9 labels
Cluster code 22 has 11 labels


***************  Scan037  ***************

Total no of clusters(textlines) = 16

No of Labels in each cluster:
Cluster code 1 has 9 labels
Cluster code 22 has 9 labels
Cluster code 3 has 7 labels
Cluster code 5 has 7 labels
Cluster code 24 has 8 labels
Cluster code 10 has 10 labels
Cluster code 4 has 10 labels
Cluster code 23 has 16 labels
Cluster code 14 has 13 labels
Cluster code 7 has 17 labels
Cluster code 26 has 14 labels
Cluster code 16 has 11 labels
Cluster code 21 has 11 labels
Cluster code 15 has 9 labels
Cluster code 27 has 14 labels
Cluster code 18 has 11 labels
